coffee_name,money
Americano,15437.259999999818
Americano with Milk,25269.120000000225
Americano with milk,1100.0
Cappuccino,18514.139999999945
Caramel,22.0
Caramel coffee,56.0
Caramel with Irish whiskey,224.0
Caramel with chocolate,112.0
Caramel with milk,75.0
Chocolate,25.0
Chocolate with coffee,150.0
Chocolate with milk,324.0
Cocoa,8678.160000000038
Coffee with Irish whiskey,464.0
Coffee with chocolate,28.0
Cortado,7534.860000000013
Double Irish whiskey,336.0
Double chocolate,25.0
Double espresso,27.0
Double espresso with milk,64.0
Double ristretto,27.0
Double vanilla,47.0
Espresso,3187.2799999999934
Hot Chocolate,10172.460000000045
Hot milkshake,30.0
Irish whiskey,525.0
Irish whiskey with milk,405.0
Irish with chocolate,135.0
Latte,28658.299999999457
Mochaccino,150.0
Super chocolate,168.0
Tea,240.0
Vanilla coffee,27.0
Vanilla with Irish whiskey,84.0
